Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,3.950107,3.950107,3.950107,3.950107,3.950107,1345
2010-02-01,3.950107,3.950107,3.950107,3.950107,3.950107,0
2010-03-01,3.950107,3.950107,3.950107,3.950107,3.950107,0
2010-04-01,3.950107,6.534013,3.950107,6.385512,6.385512,22824
2010-05-01,3.950107,8.910017,3.950107,8.316016,8.316016,17470
2010-06-01,8.316016,8.910017,3.950107,8.910017,8.910017,5384
2010-07-01,8.910017,8.910017,8.910017,8.910017,8.910017,67
2010-08-01,8.910017,8.910017,7.425014,7.425014,7.425014,516
2010-09-01,7.425014,7.425014,5.940011,5.940011,5.940011,1245
2010-10-01,5.940011,5.940011,5.910311,5.910311,5.910311,1919
2010-11-01,5.910311,5.940011,5.910311,5.940011,5.940011,1615
2010-12-01,5.940011,5.940011,5.940011,5.940011,5.940011,0
2011-01-01,5.940011,5.940011,5.940011,5.940011,5.940011,67
2011-02-01,5.940011,5.940011,5.940011,5.940011,5.940011,257
2011-03-01,5.940011,5.940011,5.197510,5.197510,5.197510,505
2011-04-01,5.197510,13.365026,5.197510,8.316016,8.316016,672
2011-05-01,8.316016,8.316016,8.316016,8.316016,8.316016,0
2011-06-01,8.316016,11.880023,6.831013,6.831013,6.831013,256
2011-07-01,6.831013,6.831013,6.831013,6.831013,6.831013,0
2011-08-01,6.831013,6.831013,6.831013,6.831013,6.831013,247
2011-09-01,6.831013,6.831013,6.831013,6.831013,6.831013,0
2011-10-01,6.831013,6.831013,6.831013,6.831013,6.831013,0
2011-11-01,3.267006,3.267006,3.267006,3.267006,3.267006,101
2011-12-01,3.267006,5.049010,3.267006,5.049010,5.049010,33
2012-01-01,5.049010,5.049010,5.049010,5.049010,5.049010,0
2012-02-01,5.049010,5.049010,5.049010,5.049010,5.049010,0
2012-03-01,5.049010,5.049010,5.049010,5.049010,5.049010,168
2012-04-01,5.049010,5.049010,5.049010,5.049010,5.049010,101
2012-05-01,5.049010,5.049010,5.049010,5.049010,5.049010,0
2012-06-01,5.049010,5.049010,5.049010,5.049010,5.049010,0
2012-07-01,5.049010,5.049010,5.049010,5.049010,5.049010,2020
2012-08-01,5.049010,5.049010,5.049010,5.049010,5.049010,0
2012-09-01,5.049010,5.049010,5.049010,5.049010,5.049010,0
2012-10-01,5.049010,5.049010,5.049010,5.049010,5.049010,0
2012-11-01,5.049010,5.049010,5.049010,5.049010,5.049010,0
2012-12-01,5.049010,5.049010,5.049010,5.049010,5.049010,0
2013-01-01,5.049010,5.100005,5.049010,5.100005,5.100005,0
2013-02-01,5.100005,5.100005,5.100005,5.100005,5.100005,0
2013-03-01,5.100005,5.100005,5.100005,5.100005,5.100005,0
2013-04-01,5.100005,5.100005,5.100005,5.100005,5.100005,0
2013-05-01,5.100005,5.100005,5.100000,5.100000,5.100000,0
2013-06-01,5.100000,5.100000,5.100000,5.100000,5.100000,0
